youtubeId,title,channel,bpm,key
fsjg1gEN0Wk,Edward Vesala / Soul Jumppaa (12),Vinyle Archéologie,,
DCaURm9fqfc,Tonio Rubio / Bass in Action N° 1,Vinyle Archéologie,152,Cm
kis1U1MvmxA,The Wendlings and Their Munich Sound Orchestra / Especially for You,Vinyle Archéologie,,
KSVUwaoQ1hI,Don Menza / Ballad of the Matador,Vinyle Archéologie,,
QJu58QdbKNY,Guido & Maurizio de Angelis / Blue Song (#4),Vinyle Archéologie,,
r1DSxX8uFMk,Picture Music / Haubtbahnhof,Vinyle Archéologie,,
X2gKnG_ZHis,MANDRÉ / Interlude,Vinyle Archéologie,,
dSBCO70MsAs,Bley–Conners–Giuffre / Quiet Song (Part 2),Vinyle Archéologie,,
NvNanTE0dfg,SMOKE / Bunny's Walk With Magic Sound,Vinyle Archéologie,,
tEdk3-JKkzU,The Crusaders / Mystique Blues,Vinyle Archéologie,,
lYur7t8WlPs,Eero Koivistoinen Music Society / Bells,Vinyle Archéologie,,
ZNteLy61-1o,Bobby Lyle / Interlude,Vinyle Archéologie,,
eEmnuih4xDY,猪俣 猛 /ドラム・コンサート1,Vinyle Archéologie,,
8F41GID9YUE,Throbbing Gristle / 20 Jazz Funk Greats,Vinyle Archéologie,,
6Qw76SmljhM,Jean-Pierre Bouquet / Voce,Vinyle Archéologie,172,Am
mYsLAbgZUMs,Release Music Orchestra / Zwischenspiel: Margit,Vinyle Archéologie,,
UKDJ0tLp_0Y,Александр Басилая / Колхская Песня,Vinyle Archéologie,,
6nk25MucGn8,Pacific Express / Wind Song,Vinyle Archéologie,,
It7GWskCthY,Marion Brown + Gunter Hampel / Serenade for M.B.,Vinyle Archéologie,,
nlLkNhBzeRU,MÚSICA DISPERSA / Gilda,Vinyle Archéologie,,
6DtaG-1dWPc,Cobraa / Intro,Vinyle Archéologie,,
1Y4MqxJhus4,Bullwackies All Stars / Black Heart Dub,Vinyle Archéologie,,
QkFQ351WCkY,The London Studio Group / Winter,Vinyle Archéologie,,
JCo5J6-iZFo,Paul Horn・Steven Halpern / After the Rain,Vinyle Archéologie,,
XRsKQBmGyeQ,Gruppo Sound / Play of Light,Vinyle Archéologie,,
zZMMuYPYf9A,Dante Agostini / Drums School Composition,Vinyle Archéologie,,
C_fzAevpQ-U,The Manzanilla Sound / Summer of '42,Vinyle Archéologie,,
