title,channel,genre,era,url,tags
The Stooges - Dirt (Drum Break - Loop),Unknown,soul,1970s,https://www.youtube.com/watch?v=hk798hcxyKk,drum-break-youtube-ingest
Johnny Hammond - Soul Talk-1970 (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=FSHDK_yHG_U,drum-break-youtube-ingest
Brian Eno - Dead Finks Don't Talk (Drum Break - Loop),Unknown,jazz,1970s,https://www.youtube.com/watch?v=4CfOXjd5qu4,drum-break-youtube-ingest
James Brown - Funky Drummer (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=jOCNmimkFTs,drum-break-youtube-ingest
Don (Soul Train) Campbell - Campbell Lock (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=eUSFCjapmOE,drum-break-youtube-ingest
Funk Soul Drum Break - Kissing My Love - Bill Withers,TheWorldOfCitrine,funk,1970s,https://www.youtube.com/watch?v=YXRrlvACwhs,drum-break-youtube-ingest
All Souls Magnificent People * Old School Funky Music People (Drum Break),Bronco 70s,funk,1970s,https://www.youtube.com/watch?v=BrFfK8siFcA,drum-break-youtube-ingest
Experience - Kryptonite Party (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=x15X9gB0bJE,drum-break-youtube-ingest
Marlena Shaw - California Soul (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=p5ACGbrml_Y,drum-break-youtube-ingest
Nicole Willis and The Soul Investigators - Keep Reachin' Up (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=En8wmSLUmHU,drum-break-youtube-ingest
Santana - Soul Sacrifice (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=fRApm1eiLZc,drum-break-youtube-ingest
Trevor Dandy - Is There Any Love (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=ufzg7qK83ck,drum-break-youtube-ingest
Mighty Tom Cats - Love Potion-Cheeba-Cheeba (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=SzIrB__NXTk,drum-break-youtube-ingest
Syl Johnson - Ode To Soul Man (Drum Break - Loop),Armando Drum Breaks,soul,1970s,https://www.youtube.com/watch?v=FzCOh5ThV7Q,drum-break-youtube-ingest
Lou Donaldson - Turtle Walk (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=8fk33u53V3s,drum-break-youtube-ingest
Ricky Williams - Discotheque Soul Part 2 (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=O0Qngo26xY8,drum-break-youtube-ingest
Incredible Bongo Band - Apache (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=0-fJLVH8_Es,drum-break-youtube-ingest
Scone Cash Players - Old Faithful (Drum Break - Loop),Unknown,soul,1970s,https://www.youtube.com/watch?v=rSWEFNSwf3M,drum-break-youtube-ingest
Dennis Coffey - Some Like It Hot - Drum Break,drumbreakhunter,soul,1970s,https://www.youtube.com/watch?v=hXKFrkchFXM,drum-break-youtube-ingest
Detective - One More Heartache,Unknown,soul,1970s,https://www.youtube.com/watch?v=IC8uEmqYmA8,drum-break-youtube-ingest
Charles Kynard - Something (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=xBVUpqosrjc,drum-break-youtube-ingest
Lucifer - Don't You (Think the Times A-Comin') [Drum Break] (1971),Rhythm Relics,soul,1970s,https://www.youtube.com/watch?v=Y5mth6gsEwU,drum-break-youtube-ingest
Atomic Rooster - The Rock - Drum Break,drumbreakhunter,soul,1970s,https://www.youtube.com/watch?v=dYjFm2yQT2g,drum-break-youtube-ingest
Aretha Franklin - Rock Steady (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=8eo0DR1GtwQ,drum-break-youtube-ingest
Soul Patrol - Peter Pan (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=I-8WuI79eE4,drum-break-youtube-ingest
Ocean - Put Your Hand In The Hand (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=6h6d3zuPjJ8,drum-break-youtube-ingest
Johnny Hammond - Summertime/The Ghetto (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=YNRCWnwRcKc,drum-break-youtube-ingest
Eugene McDaniels - Cherrystones - Drum Break,funkprovida2,jazz,1970s,https://www.youtube.com/watch?v=yY1xpOwURdE,drum-break-youtube-ingest
Power of Zeus - The Sorcerer of Isis - Drum Break,drumbreakhunter,soul,1970s,https://www.youtube.com/watch?v=28M0T_g1CvE,drum-break-youtube-ingest
Ruby Andrews - You Made A Believer Out Of Me (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=LlPFSWOfhtU,drum-break-youtube-ingest
Procol Harum - Repent Walpurgis (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=DnG5BwbMGSc,drum-break-youtube-ingest
The Rob Franken Organization - Bottle Blue - Drum Break,drumbreakhunter,soul,1970s,https://www.youtube.com/watch?v=kcO6lhP5k0Y,drum-break-youtube-ingest
Chaquito - Aquarius - Drum Break,funkprovida2,soul,1970s,https://www.youtube.com/watch?v=ZOYi1SCeUyk,drum-break-youtube-ingest
Monk Higgins - Up on the Hill - Drum Break,drumbreakhunter,funk,1970s,https://www.youtube.com/watch?v=zSCplCVynPo,drum-break-youtube-ingest
"Bernard ""Pretty"" Purdie - Caravan (Drum Break - Loop)",Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=9rc2xjON5Q0,drum-break-youtube-ingest
Bar-Kays - Humpin' (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=K2_8896GAXw,drum-break-youtube-ingest
Temprees - Explain It To Her Mama - Drum Break,funkprovida2,funk,1970s,https://www.youtube.com/watch?v=rxEp6--VYCg,drum-break-youtube-ingest
Spanky Wilson - Sunshine Of Your Love [Part 2] (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=KbQeQkfIJ-4,drum-break-youtube-ingest
"Rheet Taylor - Drum Break [Super Spook, 1972/75]",Black Film History,soul,1970s,https://www.youtube.com/watch?v=mF-VN6_jy8I,drum-break-youtube-ingest
The Singing Principal and The Brothers Of Soul Band - Woman's Liberation (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=clwY2zjMPKc,drum-break-youtube-ingest
The Meters - Hand Clapping Song (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=I_mieOsidjI,drum-break-youtube-ingest
